[INFO] [2017-08-2215:26:25][com.ssm.test.mybatis.mytest]
[INFO] [2017-08-2215:26:55][com.ssm.test.mybatis.mytest]
[INFO] [2017-08-2215:27:45][com.ssm.test.mybatis.mytest]
[INFO] [2017-08-2215:29:58][com.ssm.test.mybatis.mytest]
[INFO] 2017-08-22 15:35:54 [main] INFO  [com.ssm.test.mybatis.mytest] - 
[INFO] 2017-08-22 18:06:38 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 18:06:38 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 18:06:38 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 18:06:38 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 18:07:26 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 18:07:26 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 18:07:26 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 18:07:26 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 18:09:45 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 18:09:45 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 18:09:45 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 18:09:45 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 18:09:45 [main] INFO  [com.ssm.test.mybatis.MyBatis] - 值：测试
[INFO] 2017-08-22 18:09:45 [main] INFO  [com.ssm.test.mybatis.MyBatis] - {"age":24,"id":1,"password":"sfasgfaf","userName":"测试"}
